id,avtor,naslov,link,ocena,glasovi
102,Anita Diamant,The Red Tent,/book/show/4989.The_Red_Tent,4.18,521458
3584,Anita Shreve,Fortune's Rocks,/book/show/89399.Fortune_s_Rocks,3.88,28321
2261,Ann Aguirre,"Enclave (Razorland, #1)",/book/show/7137327-enclave,3.91,65795
686,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",/book/show/452306.The_Sisterhood_of_the_Traveling_Pants,3.8,625068
2427,Ann Brashares,My Name Is Memory,/book/show/7135858-my-name-is-memory,3.71,30165
3743,Ann Brashares,"The Second Summer of the Sisterhood (Sisterhood, #2)",/book/show/5454.The_Second_Summer_of_the_Sisterhood,3.79,89005
3127,Ann Leckie,"Ancillary Justice (Imperial Radch, #1)",/book/show/17333324-ancillary-justice,3.97,82440
351,Ann Patchett,Bel Canto,/book/show/5826.Bel_Canto,3.93,240317
3404,Ann Patchett,State of Wonder,/book/show/9118135-state-of-wonder,3.88,164674
1031,Ann-Marie MacDonald,Fall on Your Knees,/book/show/5174.Fall_on_Your_Knees,3.96,61481
2711,Anna Banks,"Of Poseidon (The Syrena Legacy, #1)",/book/show/12425532-of-poseidon,4.01,46676
3229,Anna Carey,"Eve (Eve, #1)",/book/show/9297774-eve,3.69,41604
2901,Anna Gavalda,Hunting and Gathering,/book/show/47780.Hunting_and_Gathering,4.1,16995
3097,Anna Godbersen,"The Luxe (Luxe, #1)",/book/show/1254951.The_Luxe,3.63,68662
2620,Anna Halabi,Syrian Brides,/book/show/43230472-syrian-brides,4.17,191
347,Anna Sewell,Black Beauty,/book/show/3685.Black_Beauty,3.96,239909
1639,Anna Todd,"After (After, #1)",/book/show/22557520-after,3.74,138303
2587,Anne  Michaud,"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Nine Political Wives",/book/show/27015454-why-they-stay,4.4,1342
1166,Anne  Willow,Broken Promises (Past Imperfect Mystery Book 1),/book/show/40121205-broken-promises,4.31,6454
1509,Anne Bishop,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",/book/show/47953.The_Black_Jewels_Trilogy,4.38,12827
2055,Anne Bishop,"Written in Red (The Others, #1)",/book/show/15711341-written-in-red,4.26,50609
2770,Anne Bishop,"Queen of the Darkness (The Black Jewels, #3)",/book/show/47959.Queen_of_the_Darkness,4.37,25411
3226,Anne Bishop,"Daughter of the Blood (The Black Jewels, #1)",/book/show/47956.Daughter_of_the_Blood,4.05,37333
3346,Anne Bishop,"Dreams Made Flesh (The Black Jewels, #5)",/book/show/213105.Dreams_Made_Flesh,4.33,15883
3863,Anne Bishop,"Heir to the Shadows (The Black Jewels, #2)",/book/show/47957.Heir_to_the_Shadows,4.33,24388
1152,Anne Brontë,The Tenant of Wildfell Hall,/book/show/337113.The_Tenant_of_Wildfell_Hall,3.96,89842
3720,Anne Carson,Autobiography of Red,/book/show/61049.Autobiography_of_Red,4.32,16630
2895,Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down,4.17,68345
3798,Anne Fortier,Juliet,/book/show/6718608-juliet,3.91,25626
267,Anne Frank,The Diary of a Young Girl,/book/show/48855.The_Diary_of_a_Young_Girl,4.15,2752619
3320,Anne Frasier,"The Body Reader (Detective Jude Fontaine Mysteries, #1)",/book/show/28090850-the-body-reader,4.22,28262
1347,Anne Lamott,Bird by Bird: Some Instructions on Writing and Life,/book/show/12543.Bird_by_Bird,4.23,78671
1463,Anne McCaffrey,"Dragonflight (Dragonriders of Pern, #1)",/book/show/61975.Dragonflight,4.09,126800
2569,Anne McCaffrey,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",/book/show/61942.The_Dragonriders_of_Pern,4.24,27145
2883,Anne McCaffrey,"The White Dragon (Pern, #3)",/book/show/127586.The_White_Dragon,4.18,42149
3085,Anne McCaffrey,"Dragonsong (Harper Hall, #1)",/book/show/28541.Dragonsong,4.21,50787
3167,Anne McCaffrey,"Dragonsinger (Harper Hall, #2)",/book/show/28547.Dragonsinger,4.29,40980
